date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),time,species,investigator_or_source,hour,type_spec
1942,1942,Sea Disaster,MID-PACIFC OCEAN,(Southwestern Pacific),,"Plane forced down, 3 men on rubber life raft. Put hand over side to feel drift of boat ",M,,"Fingers badly lacerated, wounds became septic",N,,NAN,"V.M. Coppleson (1962), p.258",,BLUE
1942,1942,Sea Disaster,SOUTHWEST PACIFIC OCEAN,,,Ditched plane in the sea & were adrift on a rubber life raft. ,M,,"No injury to occupants, They fought off sharks & killed one with an automatic. Rescued 34 days later",N,,"SAID TO BE “LEOPARD SHARKS”, MORE PROBABLY TIGER SHARKS","V.M. Coppleson (1962), p.258",,
1942,1942,Boating,,,,"Days before the surrender of Singapore, the 3 men escaped to Sumatra where they acquired a 17' dinghy. After 125 days at sea they drifted back to Sumatra",M,,"No injury to occupants. Sharks continually followed the dinghy, and one smashed its rudder ",N,,NAN,"V.M. Coppleson (1962), p.206",,TIGER
1942,1942,Unprovoked,PANAMA,Panama City,Bella Vista Beach,Swimming,M,,"FATAL, body not recovered",Y,,NAN,V.M. Coppleson (1958),,TIGER
07-Dec-1941,1941,Sea Disaster,SOUTH ATLANTIC OCEAN,,,Torpedoed & burning British  light cruiser with a crew of 450 men,,,"Only 170 survived, many of the crew were said to have been taken by sharks",N,,"REPORTEDLY: OCEANIC WHITETIP SHARKS, BLUE SHARKS, TIGER SHARKS & BULL SHARKS","F. Dennis, pp. 19-20; A. Resciniti, p.90",,
03-Dec-1941,1941,Unprovoked,AUSTRALIA,Western Australia,Carnarvon,Swimming,M,10,Right ankle bitten,N,Night,NAN,"The West Australian, 12/11/1941",,
27-Nov-1941,1941,Sea Disaster,SOUTH ATLANTIC OCEAN,Off Libya,,HMAS Parramatta torpedoed & sunk by the U-559,M,23,Right hand severed,N,,TIGER SHARK,"Canberra Times, 12/3/1941",,
27-Nov-1941,1941,Sea Disaster,SOUTH ATLANTIC OCEAN,Off Libya,,HMAS Parramatta torpedoed & sunk by the U-559,M,,Lacerations to chest,N,,TIGER SHARK,"Canberra Times, 12/3/1941",,
25-Nov-1941,1941,Sea Disaster,SOUTH ATLANTIC OCEAN,"North of Pernambuco, Brazil",,British cruiser Dunedin torpedoed & sunk by the U-124,,,"418 perished, only 67 survived, some of the men were taken by sharks",N,,NAN,GSAF,,
19-Nov-1941,1941,Sea Disaster,AUSTRALIA,Western Australia,Shark Bay,German raider Kormoran was sunk in an engagement with HMAS Sydney,M,,Leg bitten,N,,NAN,"Canberra Times, 12/4/1941",,
25-Sep-1941,1941,Unprovoked,CARIBBEAN SEA,,125 nm north of Aruba,SS Ethel Skakel foundered in Central America Hurricane of 1941,M,,Leg lacerated FATAL,Y,Night,NAN,Washington Post. 10/2/1941,,
Reported 21-Aug-1941,1941,Provoked,USA,New York,Montauk,Fishing,,,Laceration to left forearm from hooked shark PROVOKED INCIDENT,Y,,NAN,"New York Times, 8/21/1941",,
05-Aug-1941,1941,Invalid,AUSTRALIA,New South Wales,Parramata River,Swimming,M,,Shark involvement prior to death unconfirmed,N,,SHARK INVOLVEMENT PRIOR TO DEATH UNCONFIRMED,"Canberra Times, 8/6/1941",,
01-Aug-1941,1941,Unprovoked,USA,South Carolina,Sullivan's Island at entrance to Charleston Harbor,Swimming at edge of channel,M,20,Chest lacerated,N,,NAN,"V.M. Coppleson (1958), p.153; T. Helm, p.226; NY Times, 8/3/1941, p.28",,
22-Jul-1941,1941,Boating,USA,New Jersey,"Brielle, Monmouth County (Offshore)",Fishing for tuna,,,"No injury to occupants, shark leapt into boat & bit cabin door",N,12h00,MAKO SHARK,"N.Y Times, 7/23/1941; SAF Case  #951",12,
01-Jul-1941,1941,Provoked,USA,Hawaii,"Nankuli, O'ahu",Fishing,M,,Arm bitten while removing shark from fishing line PROVOKED INCIDENT,N,,100-LB SHARK,"G.H. Balazs & A.K.H. Kam; J. Borg, p.71; L. Taylor (1993), pp.98-99",,
15-Jun-1941,1941,Provoked,USA,New York,15 miles south of Jones Inlet,Fishing from 32' boat,M,43,Left hand bitten as he tried to put rope around shark's tail PROVOKED INCIDENT,Y,14h00,2.1 M [7'] SHARK,"New York Times, 6/16/1941; V.M. Coppleson (1958)",14,
Jun-1941,1941,Sea Disaster,PACIFIC OCEAN,Off coast of Ecuador,Between Esmeraldas & Salinas,"Ditched aircraft, 3 men in the water. Swam for 31 hours",M,,"1 man survived & was rescued, sharks took the corpses of the two men that perished",N,17h30,NAN,"G.A. Llano in Airmen Against the Sea, pp.67-68; V.M. Coppleson (1962), p.257; A. Sharpe, pp.43-44; SAF Case #740",17,
24-Mar-1941,1941,Sea Disaster,SOUTH ATLANTIC OCEAN,,750 miles off the African coast,The troopship Britannia was sunk by the German raider Thor,M,,Dr. A.R. Hernandez of ship Cabo Hornos treated passenger whose leg was severed by a shark,N,,NAN,"NY Times, 4/4/1941 
",,
09-Mar-1941,1941,Provoked,USA,California,"Santa Monica, Los Angeles County",Fishing,M,53,Right hand bitten by boated shark PROVOKED INCIDENT,N,Night,MAKO SHARK (AKA BONITO SHARK) 1.2 M [4'] ,Press clipping dated 3/11/1941,,
13-Feb-1941,1941,Provoked,AUSTRALIA,New South Wales,Wollongong,Fishing,M,34,Hand lacerated by hooked shark PROVOKED INCIDENT,N,,NAN,"Canberra Times, 2/18/1941, p.4",,
01-Feb-1941,1941,Provoked,JAMAICA,Trelawney Province,Bogue (near Falmouth),Seine netting,M,,"Left knee, calf & heel bitten by shark trapped in the net PROVOKED INCIDENT",Y,07h30,NAN,"Daily Gleaner, 2/3/1941, p. 1",07,
29-Jan-1941,1941,Unprovoked,SOUTH ATLANTIC OCEAN,In Convoy OB 274,Off Sierra Leone,Rescuing seaman after ship sunk by German raider,M,19,Clothing torn by sharks,N,19h55,NAN,"The London Gazette, 7/8/1941",19,
Jan-1941,1941,Sea Disaster,ATLANTIC OCEAN,,,Adrift on raft after their ship was sunk by an Axis raider ,M,,FATAL,Y,,NAN,Lethbridge Herald. 11/17/1941,,
1941,1941,Unprovoked,SOLOMON ISLANDS,New Georgia,Munda,Floating,M,,Buttock bitten,N,,NAN,"Chapman, p.182",,
1941,1941,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",Standing,M,,FATAL,Y,Early morning,NAN,"Lt. Col. R. S. Hunt, pp.80-81",,
1941,1941,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",,M,,FATAL,Y,,NAN,"Lt. Col. R. S. Hunt, pp.81-82",,
1941,1941,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",,M,,"Survived, but suffered a “forequarter amputation”",N,,NAN,"Lt. Col. R. S. Hunt, p.80",,
1941,1941,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",Slipped off rocks and fell into the water,M,,"FATAL, both arms bitten ",Y,,NAN,"Lt.Col. R.S. Hunt, p.80",,
1941,1941,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",Standing,M,,FATAL,Y,,NAN,"Lt.Col. R.S. Hunt, p.80",,
1941,1941,Unprovoked,PAPUA NEW GUINEA,,"Gaire Village, between Rigo & Port Moresby",,M,14,"Foot severely bitten, surgically amputated",N,,NAN,"V.M. Coppleson (1962), p.248",,
28-Dec-1940,1940,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Standing on sandbank,M,23,"FATAL, injuries to lower back ",Y,09h00,NAN,"J. Green, p.33; V.M. Coppleson (1958), p.235;  G.P. Whitley (1951), p. 192",09,
20-Dec-1940,1940,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, South Coast",Swimming,M,17,"FATAL, multiple injuries to legs & buttocks ",Y,10h00,NAN,"R. Kahn, M. Levine, GSAF",10,
Reported 19-Dec-1940,1940,Unprovoked,AUSTRALIA,Queensland,Double Island Beach,Fishing,M,,Minor injury to leg,N,,NAN,"Soda Springs Sun, 12/19/1940",,
10-Dec-1940,1940,Provoked,AUSTRALIA,Northern Territory,Darwin,Collecting fish in military trap when bitten by captured shark that had been shot by soldiers with Garten,M,,Leg severely lacerated PROVOKED INCIDENT,N,,NAN,"V.M. Coppleson; G.P. Whitley (1951), p. 192",,
Sep-1940,1940,Unprovoked,PANAMA,Panama Bay (Pacific Ocean),Otoque Island,Bathing,M,18,FATAL,Y,,5.5 M [18'] SHARK,"V.M. Coppleson (1958), p.263",,WHITE
13-Jul-1940,1940,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Standing,M,,Ankle bitten,N,,NAN,"V.M. Coppleson (1958), p.253",,WOBBEGONG
13-Jul-1940,1940,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Standing ,M,,Struck by shark immediately before it bit Tanner (see below),N,,NAN,"V.M. Coppleson (1958), p.253 ",,WHITE
30-Jun-1940,1940,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Fishing,M,,Thigh lacerated,N,,3 M [10'] SHARK,"C. Creswell, GSAF; F. Schwartz, p.23",,
31-Mar-1940,1940,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Danger Pool, Winkelspruit, South Coast",Treading water,M,25,"FATAL, right thigh & calf bitten ",Y,11h00,"WHITE SHARK, SPECIES IDENTITY CONFIRMED BY TOOTH PATTERN","G. Cawston;  H. Robson, M. Levine, GSAF",11,
20-Mar-1940,1940,Unprovoked,AUSTRALIA,New South Wales,Gerringong,Free diving for lobster,M,,Minor injuries to foot,N,,WOBBEGONG SHARK,"Sydney Morning Herald, 3/21/1940; V.M. Coppleson (1962), p.251",,
22-Feb-1940,1940,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, South Coast",Swimming,M,17,"FATAL, left thigh & knee bitten ",Y,16h30,"WHITE SHARK, 160-KG [353-LB], IDENTITY CONFIRMED BY TOOTH PATTERN","H. Robson, M. Levine, GSAF ",16,
20-Feb-1940,1940,Boating,AUSTRALIA,New South Wales,Sydney Harbour,Canoeing,,,"No injury. Shark grazed canoe, snapped at a piece of mast being trailed in the water & followed it into 2' of water",N,15h30,NAN,"G.P. Whitley, p.265",15,
4-Feb-1940,1940,Unprovoked,AUSTRALIA,New South Wales,"North Brighton, Botany Bay",Wading,M,55,"FATAL, injuries to both arms  ",Y,14h00,NAN,"V.M. Coppleson (1958), p.69; A. Sharpe, p.66",14,
29-Jan-1940,1940,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Dived into the water,M,17,Shoulder nipped,N,,"""A SMALL SHARK""","Morning Bulletin, 1/30/1929",,
23-Jan-1940,1940,Unprovoked,AUSTRALIA,New South Wales,"North Brighton, Botany Bay",Swimming,M,13,"FATAL, left leg severed  ",Y,10h40,3 M [10'] SHARK,"V.M. Coppleson (1958), p.69; A. Sharpe, pp.65-66",10,WHITE
15-Jan-1940,1940,Unprovoked,AUSTRALIA,Queensland,"Surfers Paradise, near Southport",Swimming,M,22,Chest lacerated,N,Afternoon,NAN,"V.M. Coppleson (1958), pp. 93 & 238",,
07-Jan-1940,1940,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Warner Beach, South Coast",Swimming ,M,18,"FATAL, leg & thigh bitten  ",Y,16h00,2.4 M [8'] SHARK,"R. Guy, T. Jucker & M. Levine, GSAF  ",16,
01-Jan-1940,1940,Unprovoked,AUSTRALIA,Queensland,"Malagil, Barrier Reef",Diving for trochus,M,,Thigh  lacerated,N,,NAN,"J. Green, p.33; V.M. Coppleson (1958), p.245",,
Ca. 1940,1940,Boating,SLOVENIA,Adriatic Sea,Koper,Boating,,,"No inury to occupants, shark struck boat",N,, WHITE SHARK,A. De Maddalena; M. Zuffa (pers. Comm.),,
1940,1940,Unprovoked,NEW GUINEA,Bwagaoia,"Bagalina, North coast Misima Island",,F,,FATAL,Y,,NAN,"A. Bleakley;  A. M. Rapson, p.148",,
1940,1940,Unprovoked,PAPUA NEW GUINEA,Western Papuan Gulf,Kerema ,male,,,Hand bitten,N,,NAN,"Papuan Villager, 11/1940",,
1940,1940,Invalid,SOUTH AFRICA,Eastern Cape Province,Kidd's Beach,Swimming,,,No details,N,,QUESTIONABLE INCIDENT,"D. Davies, p. 102",,
1940,1940,Invalid,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,,F,,FATAL,Y,,QUESTIONABLE INCIDENT,"V.M. Coppleson (1958), p.247; SAF Case #161. Unable to authenticate this incident in local records or press reports.",,BLUE
1940,1940,Invalid,SOUTH AFRICA,Eastern Cape Province,"Kowie River Mouth, Port Alfred",Standing in water with child in her arms,F,,Leg bitten,N,,QUESTIONABLE INCIDENT,"E. Skaife, V. M. Coppleson (1958), p.247;  M. Levine, GSAF",,
28-Dec-1939,1939,Invalid,AUSTRALIA,New South Wales,"Cabramatta Creek, George’s River ",Swimming,M,40,Abrasion above knee ,N,,"QUESTIONABLE INCIDENT, SAID TO INVOLVE A 6' SHARK","V.M. Coppleson (1958), pp.44 & 234; SAF Case #39",,
14-Dec-1939,1939,Unprovoked,AUSTRALIA,Queensland,"Rubbish Dump Creek, Mackay",Swimming ,M,20,"FATAL, left foot & right leg bitten, later surgically amputated  ",Y,12h15,2.6 M [8.5'] SHARK LANDED 2 HOURS LATER,"Sydney Morning Herald, 12/15/1939; V.M. Coppleson (1958), p.238 ",12,
23-Nov-1939,1939,Boating,AUSTRALIA,New South Wales,Wollongong,,,,No injury,N,,"BLUE POINTER, 16'","Northern Miner, 11/25/1939",,
11-Nov-1939,1939,Provoked,AUSTRALIA,New South Wales,Maroubra,,,,Boat bitten by gaffed shark PROVOKED INCIDENT,N,,WHALER SHARK,"G.P. Whitley, p.264",,TIGER
09-Nov-1939,1939,Boating,AUSTRALIA,New South Wales,Wollongong,,,,No details,N,,NAN,"G.P. Whitley, p.264",,
06-Nov-1939,1939,Boating,AUSTRALIA,New South Wales,Wollongong,,,,No details,N,,NAN,"G.P. Whitley, p.264",,TIGER
Reported 02-Nov-1939,1939,Unprovoked,SAMOA,,,Fishing,M,,FATAL,Y,,NAN,"Canberra Times, 11/2/1939",,
Reported 25-Oct-1939,1939,Unprovoked,AUSTRALIA,Queensland,Near Restoration Rock off Portland Roads ,"Free diving for trochus shell, swimming to dinghy",M,27,"Both thighs were lacerated, recovered at Thursday Island hospital",N,,"TIGER SHARK, 4.3 M [14'], 3 TOOTH FRAGMENTS RETRIEVED FROM HIS WOUNDS","G.P. Whitley, p. 20; V.M. Coppleson  (1958), p. 99",,
04-Oct-1939,1939,Unprovoked,USA,Hawaii,"Kane'ohe Bay, Mokapu, O'ahu",Spearfishing & had just speared a ulua,M,,Hand bitten,N,,1.5 M [5'] SHARK,"G.H. Balazs & A.K.H. Kam; J. Borg, p.71; V.M. Coppleson (1962), p.253",,NURSE
Reported 27-Sep-1939,1939,Unprovoked,AUSTRALIA,Torres Strait ,Near Mabuiag Island,Pearl diving,M,,"Leg severely bitten, surgically amputated",N,,TIGER SHARK,"Cairns Post, 9/27/1939",,
01-Aug-1939,1939,Provoked,USA,California,"Off San Pedro, Los Angeles County",Fishing,M,33,Harpooned shark bit his arm PROVOKED INCIDENT,N,,NAN,"L.A. Times, 8/11/1939",,
18-Jul-1939,1939,Sea Disaster,PACIFIC OCEAN,,,Japanese freighter Bokuyo Maru burned & sank,,,Thought to have been taken by a shark,N,,NAN,"Syracuse Herald, 7/30/1939",,
16-Jul-1939,1939,Provoked,BAHAMAS,Andros Islands,Blue Hole,"Dress diving, filming shark & pulling it through the water for a motion picture scene",M,38,Minor injury to shoulder & back PROVOKED INCIDENT,N,12h00,"NURSE SHARK, 2.1 M [7']","Evening Sun (Baltimore), 7/31/1939; E.R.F. Johnson",12,
14-Jul-1939,1939,Provoked,USA,Texas,"West Bay, 19 miles from Galveston",Seine netting,M,,Leg bitten by snared shark PROVOKED INCIDENT,N,Morning,18' SHARK,"Galveston Daily News, 7/20/1939, p.4",,
03-May-1939,1939,Unprovoked,USA,Virginia,"At sea, several hundred miles south east of Cape Henry, Virginia",Washed off freighter Huncliff by a freak wave,M,,"FATAL, attacked by shark, body not recovered ",Y,,NAN,"L.A. Times, 5/7/1939; NY Times, 5/8/1939, p.18, col.1; V.M. Coppleson , p.253",,
12-Apr-1939,1939,Unprovoked,PAPUA NEW GUINEA,Morobe Province,Bulolol,Dived for a coin,M,,FATAL,Y,,NAN,"Cairns Post, 4/12/1939",,
24-Mar-1939,1939,Unprovoked,PAPUA NEW GUINEA,Central Province,Port Moresby,Dived for a coin,M,,"FATAL, leg severed just below hip ",Y,,"""A LARGE SHARK""","The Papuan Villager, March 1939; G.P. Whitley, p.21",,
26-Feb-1939,1939,Unprovoked,INDIA,Tamil Nadu, Chennai (formerly Madras),Bathing/Swimming,M,,FATAL,Y,,NAN,S. Munusamy,,TIGER
26-Feb-1939,1939,Provoked,NEW ZEALAND,North Island,Matakana River Mouth,Fishing,M,,Lacerations to left hand from hooked shark PROVOKED INCIDENT,Y,,7' SHARK,"Auckland Star, 2/28/1939",,
12-Jan-1939,1939,Unprovoked,AUSTRALIA,New South Wales,Clarence River,Scooping prawns,M,11,No injury,N,,7' SHARK,"G.P. Whitley, p.264",,TIGER
Woirld War II,,Sea Disaster,SRI LANKA,,,She was on a ship that was torpedoes & was in the water awaiting rescue,F,,Leg severely bitten,N,,NAN,"V.M. Coppleson (1962), p.258",,
Ca. 1939,1939,Boating,BAHAMAS,Andros Islands,Middle Bight,Fishing,,,"No injury to occupant, shark rammed bow of boat",N,,TIGER SHARK,E.R.F. Johnson,,
1939,1939,Unprovoked,VENEZUELA,Carabobo,"El Falito, near Puerto Cabello",Bathing,M,,FATAL.,Y,,NAN,H.E. Iverson,,TIGER
1939,1939,Unprovoked,CURACAO,Ascension Bay,,Diving,M,,"No injury, left hip bumped by shark",Y,,TIGER SHARK,"H. Hass in Diving To Adventure, p.169",,
1939,1939,Unprovoked,PAPUA NEW GUINEA,"Abau Sub District, Central Province",Aroma Passage,Swimming to anchored boat,M,,"Fatal, lower abdomen bitten",Y,,NAN,"A. Bleakley;  A. M. Rapson, p.148",,
27-Dec-1938,1938,Unprovoked,AUSTRALIA,New South Wales,"North Beach, Belligen River",Swimming,M,19,"FATAL, thought to have been taken by a shark ",Y,,NAN,"G.P. Whitley, p.264",,
05-Oct-1938,1938,Provoked,AUSTRALIA,Queensland,Between Wynnum & St. Helena Island,Fishing,M,18,Laceration to left foot & ankle by netted shark PROVOKED INCIDENT,Y,Afternoon,"TIGER SHARK, 6'","Cairns Post, 10/6/1938",,
29-Aug-1938,1938,Unprovoked,CHINA,North China,"Outer harbor, Hong Kong",Swimming alongside warship   Tsingt-ao,M,,"FATAL, leg severed  ",Y,,NAN,"New York Times (William Baker), 8/30/1938; [SAF Case #934]; V.M. Coppleson  (1958), p.257; A. MacCormick, p.134",,
18-Aug-1938,1938,Provoked,USA,California,"Near Encino, Los Angeles County",Fishing,M,,Lacerations to hand by hooked shark PROVOKED INCIDENT,N,,NAN,"Washington Post. 8/19/1938, p.24",,
18-Jul-1938,1938,Unprovoked,USA,South Carolina,Charleston,Swimming,M,,Foot & ankle lacerated,N,,NAN,"Kingsport Times, 7/18/1938",,BULL
Reported 17-Jul-1938,1938,Provoked,TURKEY,,,Fishing,M,,Injured by harpooned shark PROVOKED INCIDENT,N,,NAN,"C. Moore, GSAF",,
17-Jul-1938,1938,Provoked,USA,California,"Dana Point, Orange County","Fishing, removing gaff from shark's mouth",M,27,Leg bitten by gaffed shark PROVOKED INCIDENT,N,,NAN,"L.A. Times, 7/18/1938 ",,
12-Jul-1938,1938,Unprovoked,AUSTRALIA,Torres Strait,Off Bathurst Island,"Hardhat diving from Japanese pearling lugger, Reiyo Maru",M,25,"FATAL, dragged out of diving helmet  ",Y,,NAN,"G.P. Whitley, p.264; V.M. Coppleson  (1958), p.244; Sydney Morning Herald, 7/12/1938",,BULL
17-Jun-1938,1938,Unprovoked,NICARAGUA,Lower San Juan River,,"The schooner Elizabeth, bound from Bluefields, Nicaragua to the river port of San Carlos foundered",,,"FATAL x 2, all other passengers & crew reached shore after a long swim",Y,,THOUGHT TO INVOLVE BULL SHARKS,"NY Times; L. Schultz & M. Malin, p.558",,
08-Jun-1938,1938,Unprovoked,AUSTRALIA,New South Wales,Manly,Hardhat diving,M,,"No injury, the shark knocked him off his feet",N,,6' SHARK,"The Canberra Times, 6/10/1938",,
26-May-1938,1938,Unprovoked,COSTA RICA,Nicoya Peninsula,,Fishing,M,,"FATAL, pulled overboard by tuna, & bitten by shark ",Y,,NAN,"V.M. Coppleson  (1958), p.259 ",,
15-May-1938,1938,Unprovoked,IRAQ,Basrah City,"Ashar Canal, where people wash clothes & kitchen pans","Swimming, naked",M,10,"Arm severed, but survived. Note: Some weeks later he was swimming at the same spot when a shark severed his right foot.",N,Afternoon,BULL SHARK,B.W. Coad & L.A.J. Al-Hassan,,TIGER
Reported 02-May-1938,1938,Unprovoked,INDIA,West Bengal,Hooghley River near Budge-Budge,Bathing,,,"2 survived,       1 FATAL",Y,,NAN,"The Times (London), 5/2/1938, p.15",,
Reported 21-Mar-1938,1938,Unprovoked,FIJI,Viti Levu,Singatoka River,Wading,M,,unknown,N,,NAN,"Time Magazine, 3/21/1938",,
08-Mar-1938,1938,Unprovoked,AUSTRALIA,Northern Territory,Liverpool River,Canoe capsized by shark,M,,"Leg severed, but survived",N,,NAN,"V.M. Coppleson  (1958) (in text); Sydney Morning Herald, 3/16/1938",,
21-Jan-1938,1938,Provoked,AUSTRALIA,New South Wales,Tweed Heads,Fishing,M,,Thumb bitten by landed shark PROVOKED INCIDENT,N,," TIGER SHARK, 3'","Courier-Mail, 1/22/1938; Sydney Morning Herald 1/26/1938; Whitley, p.264",,
18-Jan-1938,1938,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Vetch’s Pier, Durban","Watching seine netters with friends, one of whom picked up a netted shark",M,13,Leg bitten PROVOKED INCIDENT,N,,NAN,"M. Levine, GSAF",,
14-Jan-1938,1938,Invalid,AUSTRALIA,New South Wales,"Lady Martin’s Beach, Sydney Harbor",Diving off jetty,M,24,Superficial lacerations on feet & toes,N,Afternoon,QUESTIONABLE INCIDENT,"The Canberra Times, 1/15/1938",,
02-Jan-1938,1938,Unprovoked,AUSTRALIA,New South Wales,Cronulla,Surf skiing,M,,"No injury, ski bumped & he was thrown in the water. Ski had indentations",N,,NAN,"Sydney Morning Herald, 1/3/1938;  J. Green, p.33; V.M. Coppleson (1958), p.42 NOTE: Coppleson gives date as January 1937",,
Reported 1938,1938,Unprovoked,EGYPT,,Mersa Matruh,Sponge diving,M,,FATAL,Y,,NAN,"C. Moore, GSAF",,
1938,1938,Unprovoked,TRINIDAD & TOBAGO,Trinidad,"Manzanilla Bay, St. Andrew County",Body surfing,M,50,Left hand and arm bitten,Y,,"""GREY-COLORED SHARK""","E. Pace, FSAF",,
1938,1938,Provoked,USA,North Carolina,On one of the sounds near Wilmington,Fishing,M,,"No injury, boat towed by harpooned shark, PROVOKED INCIDENT",N,,NAN,"C. Creswell, GSAF; J. Hair, p.27",,
1938,1938,Unprovoked,AUSTRALIA,Torres Strait,,Diving,M,17,Leg severed above knee,N,,NAN,"V.M. Coppleson (1958), p.245",,
1938,1938,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Bilanhlolo River Mouth, Ramsgate",Swimming,M,,"""Mauled""",N,,NAN,H. Greenwood,,TIGER
13-Nov-1937,1937,Sea Disaster,USA,North Carolina,Off Cape Hatteraa,"Tzenny Chandris, a Greek freighter laden with scrap iron, foundered in heavy weather",M,,FATAL ,Y,,NAN,"Stevens Point Journal, 11/15/1937; TIME, 11/22/1937; Life Magazine, 11/29/1937",,TIGER
11-Nov-1937,1937,Unprovoked,AUSTRALIA,Torres Strait ,Ota Reef,Diving for trochus,M,17,FATAL,Y,,12' SHARK,"J. Green, p.33; V.M. Coppleson  (1958), p.244",,
Reported 06-Nov-1937,1937,Sea Disaster,SOLOMON ISLANDS,,,"Two canoes with 14 aboard blown to sea in a storm. While adrift for 3 week, one person fell overboard and was killed by a shark",M,,FATAL,Y,,NAN,"The Argus, 11/6/1937",,
27-Oct-1937,1937,Unprovoked,AUSTRALIA,Queensland ,"Kirra Beach, Coolangatta",Swimming ,M,25,FATAL,Y,17h30,TIGER SHARK,"J. Green; V.M. Coppleson, pp.51, 81-84 & 234; A. Sharpe, pp.94-9 6; H. Edwards, pp.114-115",17,
27-Oct-1937,1937,Unprovoked,AUSTRALIA,Queensland,"Kirra Beach, Coolangatta",Swimming ,M,18,FATAL,Y,17h30,"TIGER SHARK,  3.6 M [11'9""], 850-KG [1874-LB] FEMALE, CONTAINED GIRVAN'S REMAINS ","V.M. Coppleson, pp.51, 81-84 & 234;  A. Sharpe, pp.94-96; H. Edwards, pp.114-115  ",17,BASKING
24-Oct-1937,1937,Unprovoked,AUSTRALIA,New South Wales,Byron Bay ,Swimming near jetty,M,16,Tooth imprints on torso,N,,2.4 M [8'] SHARK,"The Age, 10/25/1937; V.M. Coppleson (1958), p.234",,BASKING
24-Oct-1937,1937,Unprovoked,AUSTRALIA,New South Wales,Byron Bay ,Surf skiing,M,,"No injury, repulsed shark",N,,2.6 M [8.5'] SHARK,"The Age, 10/25/1937; V.M. Coppleson (1958), p.234",,BASKING
Reported 26-Sep-t937,,Provoked,CROATIA, Split-Dalmatia County,Bisk,Fishing,M,,Injured by shark they were trying to catch PROVOKED INCIDENT,N,,NAN,"C. Moore, GSAF",,TIGER
12-Sep-1937,1937,Boating,SCOTLAND,Argyllshire,Arran,Pleasure boating,,,"No injury to occupants, two 5-foot observation windows shattered",N,,BASKING SHARK,Daily Mail (undated clipping); A Buttigieg ,,
11-Sep-1937,1937,Boating,SCOTLAND,Arran,Fallen Rocks,Fishing,,,"No injury to occupants, propeller shaft damaged",Y,,BASKING SHARK,"Times (London), 9/13/1937; C. Creswell, GSAF",,
01-Sep-1937,1937,Unprovoked,SCOTLAND,Argyll,"Carradale Bay, Kintyre Peninsula",Rowing,M,,3 people drowned when the boat was capsized by the shark,N,,BASKING SHARK,"Times (London), 9/2/1937; Fairfax, pp. 66-67",,
31-Aug-1937,1937,Unprovoked,AUSTRALIA,Torres Strait,"Mabuiag Island, between New Guinea & Australia","Diving from the lugger San, operated by the Protector of the Aborigines",M,38,"Head, neck & shoulder bitten (In 1918, he was also bitten by a shark off Cairns)",N,11h00,"TIGER SHARK, 9' TO 10' ","The Maitland Daily Mercury, 8/31/1937",11,
16-Aug-1937,1937,Invalid,TURKEY,,Istanbul,Swimming,M,,"No injury, no attack",N,,INVALID,C. Moore. GSAF,,
02-Aug-1937,1937,Unprovoked,PANAMA,Colon Province,Limon Bay,Swimming,M,21,FATAL,Y,,NAN,"The Gleaner, 8/12/1937",,
Reported 16-Jul-1937,1937,Unprovoked,AUSTRALIA,Northern Territory,Elcho Island,Pearl diving,M,,FATAL,Y,,NAN,"Mansfield News-Journal, 7/16/1937, p.11",,
07-Jul-1937,1937,Invalid,ITALY,Liguria,Borgeo Verezzi,,,,No injury,N,,INVALID,C. Moore. GSAF,,
Reported 28-Jun-1937,1937,Unprovoked,GREECE,,Salonika?,,,,FATAL,Y,,NAN,C. Moore. GSAF,,
15-Jun-1937,1937,Provoked,AUSTRALIA,New South Wales,"Wallamba River, near entrance to Wallis Lake","Fishing from launch, fell into net with shark",M,,Bitten by netted shark PROVOKED INCIDENT,N,,"WHALER SHARK, 4 M [13'] ","Sydney Morning Herald, 6/19/1937; V.M. Coppleson (1958) (in text); SAF Cases #549 & 550",,
    15-Jun-1937,1937,Unprovoked,USA,Texas,Galveston,Swimming,M,14,FATAL,Y,Night,NAN,"Amarillo Globe, 6/16/1937 ",,
